ID,Slug,Name,Sector,Subsector,Province,Location,Stage,CapexCAD,CapexStatus,Buildability,BuildabilityCoverage,Confidence
93a793e3-b2a2-5a07-bcff-bbddb6ec70dc,casino-mine,Casino Mine,Mining & Metals,Mining & mineral development,YT,150 km northwest of Carmacks and 300 km northwest from Whitehorse,ANNOUNCED,3617000000,REPORTED,20.0,15.0,REPORTED
93d1a935-3a08-5eb4-861e-5ebee8778897,ranney-falls-expansion,Ranney Falls Expansion,Energy & Fuels,Energy infrastructure,ON,Campbellford,CONSTRUCTION,77000000,REPORTED,95.0,15.0,REPORTED
94509df3-4c86-56a0-8d67-ed77b04d0527,wheeler-river-phoenix,Wheeler River - Phoenix,Mining & Metals,Mining & mineral development,SK,270 km ENE of La Loche,ANNOUNCED,419000000,REPORTED,20.0,15.0,REPORTED
9678bd01-1364-5333-a37c-833187172dcc,canadian-international-airports-global-investor-leasing-infrastructure-hubs,Canadian International Airports — Global Investor Leasing & Infrastructure Hubs,Transportation & Ports,Airport Commercial Ground Leases & Intermodal Logistics,ON,"Toronto Pearson (YYZ), Vancouver (YVR), Montréal-Trudeau (YUL)",ANNOUNCED,18000000000,REPORTED,10.0,30.0,SUPPORTED
96c60681-34d7-52ec-933c-f25e2e9c422e,cobalt-refinery-complex,Cobalt Refinery Complex,Mining & Metals,Mining & mineral development,ON,5 km E of Cobalt,CONSTRUCTION,77000000,REPORTED,95.0,15.0,REPORTED
98619dbe-1643-526c-9634-65601cd4d532,victoria-lake-hydro-project,Victoria Lake Hydro Project,Clean Energy & Grid,Hydro,BC,"Vancouver Island/Coast, Port Alice",ANNOUNCED,18000000,REPORTED,20.0,15.0,REPORTED
9967a7ec-4e5e-5ff2-b1b8-ba7c71a6394b,matawinie-usine-pilote-de-production-de-graphite-purifie,Matawinie - Usine pilote de production de graphite purifié,Mining & Metals,Mining & mineral development,QC,Bécancour,ANNOUNCED,1247900000,REPORTED,20.0,15.0,REPORTED
99d81f91-1286-5ab3-9655-8f3b7b31beac,fosthall-creek-hydropower-project,Fosthall Creek Hydropower Project,Clean Energy & Grid,Hydro,BC,Nakusp,ANNOUNCED,50000000,REPORTED,20.0,15.0,REPORTED
9a32bf68-c29b-5803-97ad-118cd8f6efd2,buffalo-trail-north-wind-project,Buffalo Trail North Wind Project,Clean Energy & Grid,Wind,AB,Cypress County,ANNOUNCED,200000000,REPORTED,20.0,15.0,REPORTED
9ad32c60-727d-5261-a8a3-54b7bc6756ca,implantation-de-mesures-de-reduction-des-emissions-de-ges-et-de-conversion-energetique,Implantation de mesures de réduction des émissions de GES et de conversion énergétique,Energy & Fuels,Energy infrastructure,QC,Salaberry-de-Valleyfield,ANNOUNCED,94000000,REPORTED,20.0,15.0,REPORTED
9b08441d-58df-5a66-abe2-3a65eb5387b1,long-spruce-generator-protection-replacement,Long Spruce Generator Protection Replacement,Clean Energy & Grid,Hydro,MB,Nelson River,CONSTRUCTION,22000000,REPORTED,95.0,15.0,REPORTED
9c4585ac-51e0-554b-a3ca-02902ac30351,kenney-dam-cold-water-release-facility,Kenney Dam Cold Water Release Facility,Energy & Fuels,Energy infrastructure,BC,Vanderhoof,ANNOUNCED,275000000,REPORTED,20.0,15.0,REPORTED
